comments,labels
۵ نفر کرج اومدیم رسیدیم انقد بد حرف میزنن بیشورن ک شروع بازی کنسل کردیم انقد فهم ندارن ک مخاطب چیجوری رفتار کنن حرف بزنن...اخه پشمک کی باشی ک بخوای منو تهدید کنی ! بقیه بازی خواهش میکنم ک بی ادب انقد تبلیغ نکنن همچنین سایت تایم فور فان تذکر جدی ک اینجور ادمای بیشعور حد خودشونو بدونن... اگر خودتون ارزش قائلید بازی نرید ...,1
سلام,1
بسیار بسیار محیط ناامن دخترها,1
عااااااااالی بود مدت اتاق فرار رفتیم بهمون حال داد دمتون گرم👌👌,0
بهترین اتاق فرار بود رفتم فضاسازی اولش خیلی قشنگ بود بازی شروع مبدا بود اکتور تعامل باهات یجوری صحبت میکنه فکر میکنی آمریکایی😂😂 خدایی مشخص بود خیلی زحمت کشیده شده بود دمتون گرم🌹🌹😈❤,0
دیروز رفتیم عالی بود فضا دکور عالی برخورد پرسنل عالی تهویه هم درست شده بودو اصلا گرممون نشد بک هاش خیلی ترسناک بود یکی اعضای گروهمون کلی گریه کرد 🤣 کل عالی بود مخصوصا پایان بازی,0
((دوستان عزیز اگر دوست دارید پول تون دور بندازید بهترین جا براتون اتاق فرار عزت الملوک ))!! اگر حتی 2 تا اتاق فرار رفته باشی اصلا هیچ ترسی بازی احساس نمیکنی انگار مسخره بازی میکنن واست سناریو داستان هم شرط اصلا نمیفهمی چجوری تموم میشه برخورد پرسنل هم زشت زننده سرد بود متاسفم وقت خودم مجموعه هدر رفت باور کنید اینجارو هزینه تبلیغ گندش کردن وگرنه چیز خاصی ارائه نداره,1
بسیار عالی. سناریو جذاب. اکتورا قوی. پرسنل احترام بسیار لذت بردیم ❤️,0
اسکیپی اصلا ارزش رفتن نقد بررسی کردن هم نداره قبلش باید صاحب ملکشون اجازه بگیری بری بعدشم پلیر مثل یوزر برخورد میکنن بازی هم فقط واسه سن پایین پونزده سال بدرد میخوره اگ دوست دارید پولتونو بریزید دور اینجا انتخاب خوبیه سایت t4 لطفا بازیا کلاس کارتونو پایین نیارید ممنون,1
۵ نفر کرج اومدیم رسیدیم انقد بد حرف میزنن بیشورن ک شروع بازی کنسل کردیم انقد فهم ندارن ک مخاطب چیجوری رفتار کنن حرف بزنن...اخه پشمک کی باشی ک بخوای منو تهدید کنی ! بقیه بازی خواهش میکنم ک بی ادب انقد تبلیغ نکنن همچنین سایت تایم فور فان تذکر جدی ک اینجور ادمای بیشعور حد خودشونو بدونن... اگر خودتون ارزش قائلید بازی نرید ...,1
خیلی عالی بود طراحی دکور بسیار خوب زیبا خیلیم هیجان داشت دمتون گرم ?????,0
خوب بود برخورد عالی پرسنل طراحی خوب اتاق هادر کل خیلی خوب بود,0
خوب بود طراحی دکور واقعاااااا عالی بود خیلی دکور بی نظیری بود خیلیییی اکتورا هم خوب بودن فقط تعدادشون کمه لطفا اکتور خانوم هم اضافه کنید ترس بازیم بیشتر باشه بهتره وگرنه دکور داستان بازی صحنه سازی خیلی خوب بود اهان گریمتونم ترسناک نبود زیاد گفتم بگم چیزی گفته نماند مرسی تیم خوبتون,1
بیسار بازی سسشر بدرد نخوری بود سناریو افتضاع نایم بازی کم ترسش مزخرف بود اولص ترس داشت بعدش دیگ ترسنداشت معای پیجیده ای نداشت اصلا حال نکردم,1
عالی بودین دمتونن گم اگت پسر خیلی خوب بود,0
تجربه ی ۳۵۰ تا بازی ، عالی بود شدت پیشنهاد میشه رفتار پرسنل هم عالی,0
افتضاح بود دقیقه تاخیر رسیدیم بازی برامون کامل برامون اجرا نکردن برخورد گیم مسترشون نگم براتون خلاصه وقتتون اینجا تلف نکنید😑😑😑,1
بدترین اتاق فراری بود تا حالا رفتم دکور ضعیف مزخرف گریم نداشتن فقط ماسک داشتن معما مسخره ضعیف موضوع داستان مزخرف همون اول بازی پولو گرفتن چون میدونستن اتاق افتضاحی دارن فقط اکتور خانمشون خوب بود حیفشون بازی فعالیت میکنن,1
خوب بود پنطقشون بود نمیترسیدی انقدر کرم میریختن تا بترسی اگرم نمیترسیدی دیگه شروع میکردن زدن کل خوب بود معما هم بود خیلی بی منطق بود,1
بازی امروز رفتیم اینکه تعدادمون زیاد بود بازی بابهترین کیفیت ران کردن برامون کارتون درسته,0
اول پيامي كه براي ارسال شده بود اين موضوع بود كه يك ربع زودتر مكان حاضر شويد صورت داشتن تاخير بازي براي ران نميشود كه تيم يك ربع زودتر محل بازي حاضر شد مثل تمامي اتاق فرار هايي كه رفتيم گيم مستر تماس گرفتيم جواب گفت كه زود اومدي ساعت 4 زنگ بزن(در صورتي كه تمامي جاهاي ديگه كه رفته بوديم خوش برخوردي ميگفتن خودمون تماس مي گيريم خدمتتون)ساعت 4 زنگ زديم ميگه خبرتونه اينقدر زنگ ميزني مگه ميخواي بمب خنثي كني اصلا تجربه اتاق فرار داريد!!!!(در صورتي كه حتي شخصي تجربه هم نداشته باشه هم مالي هزينه كرده هم وقت گذاشته يه مسافت زيادي تا اومده )و خيلي برخورد رفتارشون كنسل كرديم اين رفتار درست نيست هم تيمي هاي بنده كرج اومده بودن خودم هم غرب تهران اين راه اومده بوديم براي بازي كردن تازه اينها ميگه كه جا ميسپرم كه شمارتون بلاك كنن (تهديدمونم ميكردن),1
معماها ساده سطح ممکن بچه هم میتونست حل کنه . سناریو صفر. اکتور اکت صفر کمترین هزینه فکری پولی اتاق ران کردن متاسفم مقرضانه,1
بابا دست خوش اکتورا عالی فضا سازی معرکه حلالتون خدایی ارزش داره امتحان کردنش,0
تعامل ضعیف اکتور ضعیف هدر دادن وقت برخورد نامناسب اکتور تعامل ضعیف داشتن بهمون حتی خوش نگذشت,1
سلام کاملا رفتار پرسنل افتضاح بود فردا صبح شکایت تنظیم میکنیم جهت عودت مبلغ واریزی بخاطر اینکه اصرار بیجا کردن خانم بک بزنه...و زمانی خواهش کردیم شخص دیگری جایگزین بشه قبول نکردن...و بازی تموم کردن ...و آخر هوو کردن انداختن بیرون......ضمنا بازی تذکر دادم خانم بک نزنن اونا کار خودشونو انجام دادن.,1
قیمتش اونی سایت نوشته بود خیلی بالاتر بود,1
خیلییییی عالی بود 😵😵,1
اولین بارمون بودش اولش ک وارد شدیم نشستیم تا توضیح بدن چراغه ک باالاسرمون بود خااموش شد یکی بچه ترسید رف بیرون گف اصن نمیام وایساد گریع کردن بعدش کلی حرف زدنم نیومد دیگع رف پیش پرسنل اقا چشتون روز بد نبینه وارد شدم تا چراغا خاموش شد صدا اومد اکت اومد رفیقم غش کرد واقعی افتاد هیچی دیگه بهوش اومد اوردیمش بیرون اب خورد چن دیقع دیگع یکی رفیقم ک پیش پرسنلم بود اومد دیگع گف ک ترسناک نیس زیاد باز میترسم یکی ک غش قلبشو گرفتع بود دیگع کلی بحث قرار شد تایی بریم اکت نیاد اولش تازه گفتن صدا هم نباشه دیگع گفتم اخه اونم نباشع فایدع ندارع کلی بدبختی راضی شدن دیگع سریع جاها ترسیدن باز بعدش یهو گف یکیتون تنا برع منی ک نمیترسیدمو فرستادن...بعد جایی ک گف بردار فرار کن دوییدمااا جوری ک تا رسیدم سرم خورد دیوار باد کردع خلاصه ک خیلییی باحاله گفتم نیام بگم حیفع برید حال کنید اکیپی باشه پسر دختر خیلیی بهتره,1
اصلا راضی نبودیم. هماهنگی وجود نداشت بعضی معاماها حل شده بود خیلی چیز هم ریخته بد بود. سناریو هم اونقدرا جالب نبود. درکل اصلا لذت نبردیم پیشنهاد نمیشه,0
نظر بخونید... تیم تجربه بالای ۴۰۰ بازی کلی استرس بازی رزرو کرد میگم استرس چون خیلی حقش نرسیده اسم نکرده لحظه ورود انقدر جذابیت میبینید آخر بازی راهی جز دست زدن مجموعه خوش فکر ندارین... چقدر هزینه صرف دکور کردن برید سناریو... اکتورهای زیاد حرفه ای. ترس بالااا. معماهای خوب هرچی بگم کم گفتم. لطفا برید بازی تا بفهمین کت تنه کیه,0
لذت بخش نبود بنظرم ساده بود سناریو اصلا نداشت اکتور علی الخصوص گیم مستری ضعیف باعث شد کسی پیشنهادش نکنم کاش نظرات واقعی بنویسیم آدم وقتش تلف نشه بدترین تجربه ام بود فضای جدید وارد نشده گیم مستر میگفت اینارو بشمارید میشه رمز دیگه خلاصه اتاق راحت فراری بود نقدم داشتم گیم مستر عصبانی کرد بنظر بی دلیل البته تجربه شون قطعا کمه فکر میکردم جا حق مشتری است اینجا,1
اکتور حرفه,0
سلام خدمت دوستان علاقه مند اتاق فرار، درباره ی بازی صحبت میکنیم بیزنس خانوادگی مجموعه دار بازی هست کیفیت اکت های بازی انرژی گذاشتن باری مخاطب نشون میده. ۱۲۵اتاق فراری نباید سانس خالی داشته باشه قدری بازی خوب روان جذاب هست. سینا اکتور نقشه دیوانه بسیار عالی،ترس بازی خوب،تعامل بازی خوب معماها خوب هیجان بازی هم عالی مجموع اتاق فرار بسیار کیفیتی طرف هستید دوستان دقت کنند اتاقم دارای ۲پایان هست. پوستر بازی هیچ ربطی اتفاقات داخل اتاق نداره داستان یکپارچه ای طرف هستید. پیشنهاد میکنم بازی دوستان علاقه مند خسته نباشید تیم سازننده ایده پرداز.,0
سلام خواستم بگم کامنتای مثبتی دیدید پرسنله خودشون هستن کاملا چرت پرت میگن ۵۵۰ میلیون خرج کردن گوی هایی طول بازی باید پیدا کنی پیش خودشون نگهداشتن بعدشم دیشب اصلا کسی نرفته سانسای ۹ خالی بوده کامنتا ساعت گذاشته شده گولشون نخورید خیلی دروغ گو هستن بد برخورد ضمن گنده گوام هستن زیاد باورشون نکنید میگه پول برام مهم نیست چرت میگه اینکه خواستم بگم پولتون جوب نریزید ضمن ۵۵۰ میلیون خرج کرده خودش برا خودش کامنت میزاره,1
افتضاح بود,1
وای نگم براتون 🙂🤌 ترس فوق العادش بگم دکور بگم اکتور هاش بگم بر خورد عالی خفن پرسنل حرف ندارید ❤️☺️ منمون تیم خفن رومرز 😍,0
خیلی عالیو ترسناک دکور خیلی طبیعی بود اکتور های حرفه ای عالی بود درکل,0
عالی گریم های خیلی خفن طراحی دکور عالی خیلی خوب بود کل پیشنهاد میکنم,0
فضای بازی عالی بود برخورد پرسنل هم خوب بود سطح معما خوب بود خب همرو کمک گرفتیم😂🥲 کل یکی بهترین اتاق فرارهایی بود تجربه کردیم ♥️♥️♥️♥️♥️♥️♥️,0
یعنی عالی بود دمه همشون گرم,0
عالی بود اکتورها حرفه ای بودن صدا نور عالی دمتون گرم ???,0
سلام شهر خوش آب هوای قم ?رفته بودم خدمت بگم دکور عالی کار شده پرسنل برخوردشو عادی مهم تر انقدری کامنت نوشتند خوب عالی نیست متوسط هست عنوان کسی اتاق فرار های دیگه ای هم داخل تهران رفته اتاق پیشنهاد نمیکنم.,0
گول کامنتا خیلی نخورین. اکتورها ضعیف بودن. ترسش ۷ ۱۰ بود نهایتا. اکتورِ اول بازی نیم ساعت قوانین بازی باید قاعدتا بیرون در، گیم رانر توضیح بده، داشت واسمون توضیح میداد. مثلا صدای ترسناک افکت دیه 😂 لابه لاشم سوتی میداد همون صدای خوف میگفت خب پس اول بک میری پسرم ... جاها نور روشن بود اکتور صورتمون واساده بود لبخند میزدیم رسما هم 😂 خلاصه حال نداد خیلی. بی انصافی هم نشه خیلی زحمت کشیده بودن. تجربه لازم داره بالاخره ترسوندن.,1
عالی بود خیلی عالی,0
وای رفتیم اتاق اول خیرو خوشی گذشت رفتیم وارد آشپز خونه بشیم داشتیم ترس میمردیم خلاصه وارد آشپز خونه شدم اره برقی اومدن بعدش روشن شد تاریک شد شمشیر اومدن بعدش کشیش اومد یکی ببره هیچکس نرفت انصراف دادیم 🤣 عالی بود نور پردازی طراحی معما و.... عالی بود 100از 100بهش میدم بازم می,1
اصلا جالب نبود. اولش دروغ شروع شدکه کلی ترسناکه.تاچ داره.فضا عالیه...اما برعکس بود...بنظر پولمون حف کردیم,1
اتاق فرار افتضاح عالی بود ۵،۶ تا اتاق فراری ک نچسبید بهمون جای همشون جبران کرد...همه اکتور جون دل مایه گذاشتن چندتا نوآوری دارن اتاق هاشون برید لذت ببرید,1
خیلی بازی تون بی کیفیت بود,1
سلام خسته نباشید بازی جذابی بود نیم ساعت تاخیر داشتیم اصلا تایم بازیکن کم نکردن برخوردشون خیلی صمیمانه بود اصلا دوست نداشتیم بیاییم بیرون ترس بازی خیلی زیاده خیلی مراقب باشید بابا مراد پیداتون نکنه تاتر بازی خیلی خاص متفاوت بود مرسی تایم فور فان انقدر بازی های خفن پیشنهاد میده,0
خیلی بد اصلا نرین همچیش افتضاح بود بدترین اسکیپ روم تاریخ,1
خیلی عالی بود برخورد پرسنل عالی اکتورهای بازی خیلی خوب بودن,0
سناریو قوی ، اکتور حرفه ای,0
باره دومیه ک اتاق فرارو رفتم بخاطر دچ پایانه بودن بازیش ازین مسخره بازیا نیس ک بازیای اطراف مُد شده ک اخرش بگن طلسم باطل شد فرار کنید دوبازه برگردیم ب فضای اول پایان بازی بی نظیره هر دوپایان امیدوارم راه درستو انتخاب کنید اکتوراشون کاملاحرفه ای کار بلدن بار دوم بازم ترس وجودم میوفتاد صدای جیغ ملودی😂مطمئنم همیشه ذهنم میمونه صداش یکی قشنگ بازیایی بود ک رفتم باتشکر تیم دوس داشتنیتون,0
۵۰ دقیقه داخل بازی بودیم طبق گفته گیم مستر بازی علت سانس دهی زیاد مجموعه تا وارد اتاق میشدیم سرنخ معما بهمون میدادن پشت بیسیم تا معما حل کنیم زود بریم اصلا پیشنهاد نمیکنم بازی برامون درست ران نکردن دکور بد اکت متوسط...,1
شدتتتتتتت افتضاححححح اکتور شدت وحشی بودند جوری بچه آسیب جسوی وارد شد. توصیه میکنم اصلا پاتون اینجا نذارید.,1
معمولی بود ، صدا ضعیف ، اکتور ضعیف ، بهتون پشنهاد میکنم برید اتاق فرار محله خبیث خیلی چیزاش عالیه تبلیغات کامنت,1
فقط برخورد پرسنل خوبه مگر ن بازیش افتضاحه,1
بسیار ناراضی بودیم اتاق فرار... بازی گردان حرکت بسیار ناشایستی حین بازی انجام داد اواسط بازی تذکر لباس شخصی وارد زمین بازی شد لفظ بی ادبی زشتی برخورد کرد،در صورتی کار اشتباهی انجام نداده بودیم کار ندانستن بود.(تمام هیجان مزه بازی رفت) اکتور هم تعریفی نداشتند یکی تیشرت مشکی ساده تن داشت... اصلا توصیه نمیکنم دوستان,1
تجربه,0
سلام خدمت مورد اتاق فرار اول نقاط ضعفش نظر خودم بگم نقاط قوتش : نقاط ضعف : ۱. نوشته توضیحات داخل هر اتاق حل معما کمک چندانی نمی کرد صرفا داستان روایت می شد همین باعث شده بود گم بشیم ( تصورمون بود ارتباطی هست ) ۲. پایان بندی مناسبی نداره ، ناگهانی بدون هیجان جذابیت تموم,1
تجربه حدود ۵۰ تا بازی خیلی برام میهج بود ترسناک استرس بالا بود پیشنهاد میکنم برید اکتورا حرفه ای نوع اسلشری تکه ۱ ساعت بازی عالی بود ممنونم مجموعه arc Scape عزیز 😁,0
وحله اول برخورد تیم عالی بود. طراحی معما فضا سازی حرف نداشت.,0
عالی بود مخصوصا اکتور معما طراحی برخورد پرسنل عالی بود شدت هیجان انگیز بود پیشنهاد میکنم برید,0
اولش دیر کردیم بدون اینکه بازیمون سوخت بشه یا مراحل خذف بشن بازی شروع کردن خیلی همراهی کردن باهامون بازی معناها خوب بودن ترس بازی بجا غیر منتظره بود اکتر خیلی حرفه ای داشتن درکل سرگرمی خیلی خوب خاطره ی جالبی شد برامون ممنون ازتون,0
بازی عالی بود تجربه ۹۰تا اتاق ی چیزه دیگه ای بود هرچی بگم کم گفتم دکور عالی اکتور هااا حرف نداشتن معما خوب رون برخورد پرسنل عالی هماهنگی نور موزیک خوب حرفه ای خیلی حال کردم دوستان پیشنهاد میشه خودم دوست دارم برم دمه بچه های شبی ک صبح نشد گرم حرف نداشتن❤❤❤❤❤,0
خیلی بازی تون بی کیفیت بود,1
اول برخورد پرسنل شروع بازی اوک بود داخل بازی ذره تند بود بد خلق . معما های بازی خیلی خوب بود ، خیلی حرفه ای عالی حد توان بتونیم حلش کنیم . کل اوک بود برخورد پرسنل یکم بد بود .,1
خسته نباشین بازی دوستانی پلیر هستن مناسب چون رود درست استاندار مربوط سناریو هستش ترس بازی اندازه کافی بالا هست معماها خیلی جا مختص هر محیط بود لذت بخش بود,0
دکور بد نبود برخورد پرسنل بد بود کل بازی کاراکتر بود اصلا حال نداد اصلا نرید پولتون جوب می اندازید,1
باریکلا تیم خیلی بازی شیرین ترسناک قشنگی بود بنازمتون(:💫,0
خوب نبود بازی نیمه کاره اجراشد,1
مزخرف اتاق فراری ک رفتم نرید چهارتا بچه دورهم جمع شدن,1
تشکر اصفهان تست چند تا بازی اومدیم تهران ، بازی قبلیشون هم تست کردیم. توصیه خودشون خواستیم بازی گیت هم تست کنیم ، زودتر موعد رسیدیم خبر هم دادیم دقیقه شروع بازی بازی کنسل کردند. تا هزینه اسنپ اضافی دادیم اینکه نتونستیم اتاق دیگه ای رزرو کنیم. متاسفم,1
خیلی خوب بود،از لحاظ دکور عالی بود،برخورد پرسنل اکتور خوب بودن،فقط خط داستانی نداشت.در کل پیشنهاد می کنم برید.,0
اگر بازیو کردید مطمئن باشید بار اول گیم اور میشید یعنی گیم اورتون میکنن مجبور شید باز برید پول بدید ، میگن شخصیت خاکستری فقط یکبار سوییچ کرد بازی اینکه گیم اور کنند دوبار سوییچ کرد، بازی میتونست خیلی خوب باشه اگر تهیه کننده هاش پول انقدر مهم نبود بخاطرش بازی فوق العاده پیش رفتیمو گیم اورمون کنن,0
اصلا ترسناک نبود معما فضا خوب بود اصلا ترسناک نبود,0
ایشون 550 میلیون تومان اتاق فرار خرج کرده بنظر بنده کل پرسنل دکور معماها مفت نمیارزید دیشب سانس یازده میلیون تومان پول جوب ریختیم رفتن اتاق فرار برخورد پرسنل افتضاح بود انگار ارث پدرش طلب داشت فوق العاده خطرناک طراحی شده بود. اتاق فرارهای دیگه طراحی شده تا پلیر لذت ببره شخص عقده ای روان پریش اتاق فرار طراحی کرده خودش اذیت کردن مردم لذت ببره. اتاق فرار لول سایتتون فوق العاده آورد پایین بنظرم. سخنی سازنده بازی:اگه وجود تعاریف حس میکنی اتاق فرارت خفنه علی یارت,1
سلام. خیلی خوب بود فضا سازی عالی طراحی عالی اکت های فوق العاده ترسناک سرگرمی عالی خوب بود بهترین مجموعه ای بود ک رفتم ممنون سایت فور فان ک همچین مجموعه ای خوبی عالی ارائه داده دمتون گرم,0
اصن حال نکردم نمیدونم اینطوری بود متاسفم 👎پیشنهاد نمیکنم هممون موقع خروج بازی عصبانی بودیم وقتی صرف بازی کردیم راه اومدیم ک ی بازیه بی مزه بریم 😑👎,1
رفتارشون خوب بود معماها بی معنا الکی بودن، کل چنتا اتاق تاریک بدون سناریوی جالب. جای لوکیشن هم اصلا مناسب نبود. کل پیشنهاد نمیکنم.,1
"فوق العاده خفن♥️ چیز عالی ترس وحشت ,صدا موسیقی بی نظیر فضاسازی دکور سرگرمی عالی مرتبط بازی معما عالیییی خد اندازه اکت جا اکتور کاربلد خفن بی نظیرین کار اول اخر برخورد پرسنل حرف نداره مثل همیشه ♥️ دمتون گرم تجربه بالای ۱۰۰تا بازی مورد علاقه بودین پیشنهاد میکنم دوستان تجربه کنید بازی",0
واقعامزخرف بازی ممکنه اصلا نرید حیف پول وقت ک برا بازی بذارید,1
فضا بسیارعالی بود ممنون زحماتتون,0
"شاید بشه گفت بدترین بازی ای بود رفته بودیم نیم ساعت دیر شروع کردن گرمای ساعت ۱۴ خیابون نگه داشتن هر دفعه زنگ زدیم گفتن ۲ دقیقه دیگه ۲ دقیقه دیگه. سیستم تهویه افتضاح بود، اتاقها سرمایش نداشت. بازی گفتن میخواید نفری ۳۰ هزار تومن بیشتر بدید اکت vıp بشه، vıp بود معمولیشون بود! فقط چند تا جیغ, همین. منطق معما نسبت اتاق فرارهای دیگه خیلی سطحش پایین بود. فکر کنم همین تعداد دلیل بد بودن بازی کافی ه.",1
انتظار همچین برخوردی نداشتیم ی بازی اپیزودی جدید برخورد پرسنل عالی ک پیشنهاد نمیکنم کسی بره چون یکی امبولانس برمیگرده😉 رتبه ۱ منتطقس,0
کلا قرار امشب کنسل کردن آبرومون پیش دوستانتون رفت,1
۲۰ دقیقه اول تایم مکالمه اکتور گذشت فکر کردیم بازی خوبی قراره مواجه بشیم آخرش گیم مستر عزیز بازی هول هولی تموم کرد واقع آخر بازی قیچی کرد قرارش برسه! خوب ساعت ۱۰ تایم میدین کار دارین؟! ۲۰ دقیقه وقت اول بازی تلف میکنین آخرشو مجبور شین قیچی کنین؟! پله پیچ پلیر میگین بدو بدو نورو میگیرین پلیر مغز بره دیوار؟!,1
دمتون گرم خیلی حال کردم ممنون اکتور حرفه ایتون خیلی خوب ترسیدیم 😂😂,0
اتاق فرار جالی بود برخورد پرسنل جنبشون خیلی باحال بود معماها خیلی سخت بود اخرین اتاق سوپرایز عالی انتظارتونه,0
دیروز جمعه 7 مرداد دخترم دوستانش برا بازی آوردم . متوجه شدم بازی بدرد پسرا میخوره چون نیروهای خانم استفاده نمیکنند. اتاقک های تاریکی افراد قرار میگیرند کسانیکه قرار است وحشت یا هیجان ایجاد کنند پسرند . میان تماس دستی مانند هول دادن گرفتن مچ دست کشیدن لباس ... انجام میشه نتیجه انجام بازی منصرف شدیم چون معذئریات اخلاقی داشتم . آنچه موجب ناراحتی شد : - فضای مجاری معرفی میکنید قضیه اشاره ای ندارید . خیلی براتون عجیبه خانواده ای نخواهد کسی دست لباس دخترش بکشه؟ اروپا هم باشه باید قضیه حق هر کسی است بدونه اشاره کنید یا لااقل زمانیکه ثبت نامی دختر هستند نیر.ی کار خانم استفاده کنید . رزرو نمی کنید پی میدونید مثلا ساعت خاصی دختر رزرو کردن یا پسر - فضای مجازی صحبت بالای شانزده سال کردید مراجعه حضوری برگه تعهد کتبی دادید امضا کنید 18 سال بالاتر هستیم - لزومی داره پول یگیرید وسط اتفاقی بیفته نتونن بازی کنن کلی پول دست بره حتی حاضر برگرداندن ریالش هم نشدید - جا کنسلی حدقل مبلغی برگشت داده میشه . هر چقدر تلاش کردم گفتم هیچ مبلغی برگردانده نشد هر حال موارد مخالف اخلاق است بنده طریق همسرم قاضی هست قضیه دارم بررسی میکنم . هم جنبه اخلاقی هم مالی قضیه بدنبال پلمپ مرکز هستم ، زندی,1
تئاتر تعاملی خیلی خوبی داشت برد فضای بازی محو بازی شده بودیم خیلی خوب بودید برخورد پرسنل خیلی عالی بود ترس بک نزدن دعوا داشتیم برید حالشو ببرید دمتون گرم,0
حیف پولتون بازی بدین برید بستنی بخورید بیشتر حال میده اونم کیمی,1
سلام خسته نباشید مجموعه خوب راک دیشب بازی والهالاتون بودیم امشب رزیدنت شدت لذت بردیم بازی عالیه میتونم بگم یکسری اکت داره داخل هیچ بازی دیده نمیشه گیم پلی شدت متفاوت اگر کسی بازی لذت نبره پلیر نیست پیشنهاد میکنم اتاق امتحان کنید مخصوصا کسانی دنبال اتاق فرار متفاوت میگردن,0
بازی چرتی بود بنظر نیاز تعریف نداشت اکتهای ضعیف برخورد پرسنل خیلی بد بود بی احترامی پلیر خیلی بد بود کلا اتاق اکت داره,1
بازی بی نقص تعامل عالی بی فوق,1
بییییی نظیررررر بود,0
برق بازی رفته بود ی هفته منتظر موندیم,0
درکل توقع بالایی داشتیم محقق نشد، بازی تایمش نصف بود حدود ۴۰ دقیقه داخل بودیم ، سری تمومش کردن ، اکتا خوب بود اتاق دوم فقط یکی اکتورا بود ، درکل پیشنهاد نمیکنم ، خودمون کامنت های خوب بازی رزرو کردیم متاسفانه اصلا خوش نگذشت دمتون گرم خسته نباشید,1
عالی خیلی خوب بود ارزش رفتن داره,1
سلام طراحی دکور ث دوس داشتم معماها خیلی خاص پیچیده نبود یکی قفل گیر داشت تایم دست دادیم مهم تر اینکه بازیگرا بی حال بد بودن اصلا نمیترسوندن چنتا اتاق فرار رفتیم ترس سکته کردیم انقد دل جون مایه میزاشتن اینجا اصلا خیلی ابکی بود (داخل ویدیو مشخصه قفل خراب نبوده),1
عالی بود فقط ایکاش اکتور بیشتر داشت اکتور تکراری شده بود,0
پرسنل نظر برخورد اصلا مناسب نبودند. ساعت 11:10 گفته بودند رسیدیم بازی 1 ساعت بود. تا 11:45 داشتند حرف میزدند شماره گذاری روی افراد می کردند دونه دونه داخل بازی می بردند. تصور بود زمانی وارد بازی می شیم تایم شروع میشه پرسنل اتاق فرار حرکت کاملا غیر حرفه ای ساعت 12:30 بازی بیرون آوردند گفتند تایمتون تموم شده وقتی ازشون خواسته شد اتاقارو ببینیم حداقل داستانو بهمون توضیح بدید بهونه آوردند بازم تایم زیادی میشه. طرفی فانوس هاشون خراب بود نور بازی حدی بد بود امکان حل معما نبود هر تماس تلفنی داخل بازی برقرار میکردند، اطلاع می دادیم پاسخی نداشتند. اکتور اصلا توانایی بازی اتاق فرار نداشتند . صورت کلی اصلا توصیه نمیکنم,1
